Time,Longitude,Latitude,Altitude,Roll,Pitch,Heading
242.15,-157.641544,21.30681359,12618.69193,-3.259277765,-8.423368372,59.13819461
243.142,-157.6387165,21.30842399,12454.61825,-3.214222589,-7.320630663,58.99683761
244.142,-157.6358703,21.31005346,12309.07224,-3.152488974,-6.669642728,58.88234687
245.142,-157.6330304,21.31168244,12175.38689,3.247481818,-6.166475793,58.9820423
246.142,-157.6301931,21.31330238,12051.90988,3.037175216,-5.696537996,59.10767606
247.142,-157.6273591,21.3149134,11937.87379,0.5087137184,-5.251109288,59.16642729
248.158,-157.6245314,21.31651857,11832.78938,0.5389497993,-4.824378085,59.19727211
249.142,-157.6217104,21.31811801,11736.26545,0.5692530293,-4.411346276,59.22621751
250.142,-157.6188967,21.31971154,11648.01209,0.5853863474,-4.007889999,59.25490233
251.15,-157.6160671,21.32131222,11567.17613,0.5916984435,-3.607906227,59.2836497
252.15,-157.6133153,21.32286715,11496.06371,0.5920105293,-3.222555561,59.31158535
253.167,-157.6104784,21.3244684,11430.41646,0.5898488597,-2.827663195,59.34060857
254.15,-157.6076962,21.32603696,11373.54285,0.5870733173,-2.441766121,59.36911671
255.15,-157.6049226,21.32759902,11324.2061,0.5840437154,-2.057665812,59.39755519
256.167,-157.6021575,21.32915452,11282.3218,0.5809503934,-1.674828622,59.42591589
257.15,-157.5994471,21.3306776,11248.31992,0.5779448206,-1.298098573,59.45373834
258.15,-157.596654,21.33224545,11220.28283,0.5691058258,-0.8411482408,59.48305577
259.142,-157.593937,21.33376903,11197.7644,0.5290159318,-0.6221864574,59.50827149
260.142,-157.591204,21.33530006,11179.54853,0.4897867878,-0.3889475533,59.53248715
261.142,-157.5884781,21.33682568,11165.63275,0.4514644407,-0.1622313462,59.55534274
262.142,-157.5857596,21.33834595,11152.99524,0.4200171451,-0.4916380222,59.57291483
263.142,-157.5830483,21.33986124,11134.89649,0.3923683858,-0.8167363282,59.58994947
264.142,-157.5803435,21.34137196,11110.54765,0.3647795032,-1.166325142,59.60623286
265.142,-157.5776446,21.3428785,11079.60363,0.3371283706,-1.529593798,59.62184491
266.142,-157.5749509,21.34438128,11041.86166,0.3093977343,-1.90170696,59.63681913
267.15,-157.5722395,21.34589314,10996.79602,0.2813788863,-2.282801026,59.65130334
268.15,-157.5695546,21.34738944,10945.07415,0.2536119462,-2.664732392,59.66506785
269.15,-157.5668733,21.34888303,10886.30234,0.2259180627,-3.049587668,59.6782398
270.15,-157.564195,21.35037422,10820.44345,0.1983409058,-3.436830478,59.69082271
271.15,-157.5615193,21.3518633,10747.46481,0.1709219478,-3.826264082,59.70281977
272.15,-157.5588458,21.35335055,10667.33273,0.1437008143,-4.217897205,59.71423487
273.15,-157.5561739,21.35483623,10580.00912,0.1167153062,-4.611869583,59.72507312
274.15,-157.5535034,21.35632059,10485.44945,0.09000212929,-5.008398734,59.73534077
275.142,-157.5508562,21.35779148,10384.48068,0.06381400699,-5.404395046,59.74496831
276.142,-157.5481874,21.35927384,10275.34631,0.03774350312,-5.806785788,59.75412636
277.142,-157.545519,21.36075551,10158.79744,0.01203856866,-6.211600041,59.76274331
278.142,-157.5428507,21.36223665,10034.79255,-0.01333445285,-6.615653341,59.77083025
279.142,-157.5401823,21.36371745,9903.328765,-0.03828836567,-7.018484852,59.77835855
280.158,-157.5375135,21.36519807,9764.411901,-0.06275155383,-7.419614223,59.78533496
281.142,-157.5348441,21.36667864,9618.054917,-0.08689052073,-7.81857809,59.79179544
282.142,-157.5321739,21.3681593,9464.278201,-0.1107027095,-8.21489903,59.79775049
283.15,-157.5294806,21.3696525,9301.736196,-0.1343552329,-8.611330119,59.80325061
284.15,-157.5268084,21.37113366,9133.153132,-0.1574382376,-9.000764338,59.80821106
285.167,-157.5241351,21.3726152,8957.263758,-0.1801378784,-9.385894283,59.81268575
286.15,-157.5214606,21.37409721,8774.126666,-0.2024483465,-9.766063704,59.81667906
287.15,-157.5187848,21.37557974,8583.81323,-0.2243693547,-10.14054466,59.82019524
288.15,-157.5161076,21.37706285,8386.409299,-0.2459039353,-10.50853231,59.82323713
289.15,-157.513429,21.37854658,8182.017067,-0.2670580302,-10.86912976,59.82580609
290.15,-157.510749,21.38003098,7970.757134,-0.2878404035,-11.22134874,59.82790154
291.142,-157.5080899,21.3815037,7754.614657,-0.3080939873,-11.56126835,59.82951047
292.142,-157.505407,21.38298951,7530.120048,-0.3281727851,-11.8933887,59.83065438
293.142,-157.5027228,21.38447606,7299.251572,-0.3479212317,-12.21346464,59.83131102
294.142,-157.5000371,21.38596336,7062.227424,-0.3673588082,-12.52000856,59.83147041
295.142,-157.4973949,21.38742664,6823.393004,-0.3861883198,-12.80665537,59.83112873
296.142,-157.4946617,21.38894033,6570.74491,-0.4053878718,-13.08571497,59.8302398
297.142,-157.4920168,21.3904052,6321.158604,-0.4237403961,-13.33708516,59.82883951
298.142,-157.4892808,21.39192062,6058.074311,-0.4425279664,-13.57574859,59.82680959
299.15,-157.4865882,21.39341215,5794.709716,-0.4608485152,-13.78706132,59.82420474
300.15,-157.4838706,21.39491775,5526.816391,-0.482887339,-13.36635909,59.81566365
301.15,-157.4811637,21.39641788,5276.244879,-0.5229065381,-11.68654173,59.79452526
302.15,-157.4784398,21.39792839,5057.403474,-0.5675217506,-9.889435101,59.76968353
303.15,-157.4757031,21.39944725,4872.832905,-0.6119572915,-8.022754105,59.74143337
304.15,-157.4729577,21.40097234,4723.886597,-0.656699911,-6.111066764,59.70990812
305.15,-157.4702089,21.40250103,4611.363377,-0.7020882435,-4.172808593,59.6751974
306.15,-157.4675065,21.40400575,4536.61714,-0.7479913834,-2.242247688,59.63774019
307.142,-157.4647551,21.40553965,4492.384683,-0.7870238305,-1.255937041,59.60999628
308.142,-157.4619797,21.40708838,4463.615661,-0.8133690597,-0.9812795843,59.59071801
309.142,-157.4592274,21.40862525,4439.110484,-0.8330392445,-0.9290978878,59.57399592
310.142,-157.4564756,21.41016285,4415.382709,-0.8523990218,-0.934203615,59.5574867
311.142,-157.4537244,21.41170114,4391.356451,-0.8715996582,-0.9806023723,59.54102043
312.142,-157.4509737,21.41324014,4366.320855,-0.8906459928,-1.053932791,59.52442203
313.142,-157.4482234,21.41477989,4339.81499,-0.9095378855,-1.144339003,59.5075677
314.142,-157.4454735,21.41632044,4311.549799,-0.9282783661,-1.244985568,59.49036945
315.15,-157.442701,21.41787472,4281.095528,-0.9470265296,-1.351971716,59.47261548
316.15,-157.4399517,21.4194171,4248.869455,-0.9654776364,-1.460084329,59.45455264
317.15,-157.4372025,21.42096051,4214.602812,-0.9837921849,-1.567704445,59.43600133
318.15,-157.4344534,21.422505,4178.314087,-1.001974828,-1.672979342,59.41693481
319.15,-157.4317042,21.42405066,4140.054558,-1.020029963,-1.774491832,59.39733173
320.167,-157.4289551,21.42559754,4099.900757,-1.037961818,-1.871126414,59.37717435
321.15,-157.4262058,21.42714571,4057.949217,-1.055774596,-1.961986611,59.35644757
322.15,-157.4234564,21.42869521,4014.312588,-1.073472564,-2.046337382,59.33513807
323.167,-157.4207068,21.4302461,3969.117024,-1.091059999,-2.123555568,59.31323368
324.142,-157.41798,21.43178548,3922.893997,-1.108396087,-2.192572844,59.29091342
325.142,-157.4152301,21.43333926,3875.012723,-1.125776724,-2.254111224,59.26779194
326.142,-157.41248,21.43489454,3826.011138,-1.143060465,-2.307189666,59.24404472
327.142,-157.4097298,21.43645135,3776.051367,-1.160252054,-2.351504434,59.21966288
328.142,-157.4069795,21.4380097,3725.300952,-1.177356368,-2.386833348,59.19463864
329.142,-157.4042291,21.43956963,3673.931737,-1.194378201,-2.413005075,59.1689648
330.142,-157.4014786,21.44113113,3622.118585,-1.211322347,-2.429921648,59.14263523
331.142,-157.3987282,21.44269422,3570.038063,-1.228193503,-2.437553694,59.11564492
332.15,-157.395955,21.44427193,3517.43249,-1.245135954,-2.435886317,59.08775674
333.167,-157.393205,21.44583819,3465.348552,-1.261874031,-2.42505887,59.05942913
334.15,-157.3904552,21.44740602,3413.525216,-1.278552144,-2.405283359,59.03043342
335.15,-157.3877057,21.44897541,3362.13214,-1.295174059,-2.376813242,59.00077007
336.15,-157.3849568,21.45054633,3311.33389,-1.311743184,-2.33996721,58.97044103
337.15,-157.3822084,21.45211878,3261.288573,-1.32826257,-2.295137356,58.93945001
338.15,-157.3794607,21.45369271,3212.146356,-1.34473481,-2.242777306,58.90780234
339.15,-157.3767139,21.4552681,3164.048368,-1.36116206,-2.183401695,58.87550503
340.158,-157.3739909,21.45683178,3117.511323,-1.377409643,-2.118151375,58.84284378
341.142,-157.371246,21.45840999,3071.871952,-1.393751822,-2.046539916,58.80927972
342.142,-157.3685024,21.45998957,3027.633953,-1.410052618,-1.969746494,58.77509629
343.142,-157.3658058,21.46154411,2985.591633,-1.42604163,-1.889847878,58.74089118
344.142,-157.3630193,21.46315266,2943.727194,-1.442530636,-1.803393877,58.70492435
345.142,-157.36028,21.4647361,2904.206781,-1.458707042,-1.715277725,58.66896519
346.142,-157.3575425,21.46632076,2866.383761,-1.474840485,-1.624848091,58.63244502
347.142,-157.3548068,21.46790659,2830.2969,-1.49092959,-1.532839755,58.59538056
348.15,-157.3520546,21.46950428,2795.590732,-1.505889375,-1.503510372,58.55949989
349.15,-157.3493707,21.4710648,2760.500814,-1.513500706,-1.663315493,58.52841266
350.15,-157.3467376,21.47259769,2721.651834,-0.477119441,-1.942076127,58.5223902
351.15,-157.3441481,21.47410592,2678.662758,-0.2523350754,-1.784683705,58.51788476
352.15,-157.341596,21.47559266,2638.070022,-0.2299118917,-1.63128488,58.51883945
353.15,-157.339077,21.47706036,2599.587653,-0.2332086775,-1.461832262,58.51928356
354.15,-157.3365874,21.47851117,2563.304003,-0.2358172102,-1.252449631,58.51905791
355.15,-157.3341242,21.47994688,2529.603884,-0.2356316463,-1.025764813,58.51849394
356.142,-157.3317048,21.48135724,2498.849049,-0.2338720483,-0.7953726768,58.51792016
357.142,-157.3292866,21.48276709,2470.642613,-0.2315294243,-0.570948408,58.51747265
358.142,-157.3268895,21.48416488,2445.710917,-0.228978285,-0.3824394956,58.51721107
359.142,-157.3245132,21.48555071,2423.749674,-0.2267549135,-0.2217051116,58.51707997
360.142,-157.3221575,21.4869247,2404.309876,-0.2248418234,-0.07658029085,58.51702237
361.142,-157.3198222,21.48828696,2387.075994,-0.2231222863,0.05703164227,58.51701771
362.142,-157.3175071,21.48963765,2371.810413,-0.221542868,0.1804470541,58.51705746
363.142,-157.3152119,21.4909769,2358.309215,-0.2200858392,0.2944176564,58.51713553
364.142,-157.3129364,21.49230486,2346.388198,-0.2187403646,0.3996861611,58.51724602
365.15,-157.3106615,21.49363262,2335.797438,-0.2174871942,0.4976713605,58.51738598
366.15,-157.3084244,21.49493834,2324.100498,-3.186263726,-0.6738351018,58.46118795
367.15,-157.3062064,21.4962351,2297.631625,-13.10642232,-1.840985995,58.28386563
368.15,-157.3040098,21.4975288,2253.506659,-23.15641702,-3.097688885,57.96053461
369.15,-157.3018372,21.49882488,2190.412804,-30.74748906,-4.416863994,57.5681672
370.15,-157.2996897,21.50012666,2107.595126,-33.03854029,-5.676042475,57.08882093
371.15,-157.2975688,21.50143824,2006.631378,-35.08722111,-6.578517196,56.27087102
372.15,-157.2954781,21.50276808,1891.260063,-37.35752523,-7.460894245,55.3444435
373.158,-157.2934077,21.50414069,1765.792121,-39.97919123,-7.187824253,53.35274219
374.158,-157.2914038,21.50555131,1639.724978,-42.73869002,-7.803040833,51.95101582
375.158,-157.2894479,21.50700498,1507.175106,-45.50093429,-7.814515561,49.79263615
376.158,-157.2875612,21.50852619,1376.872198,-46.97064946,-6.728842876,46.34741367
377.158,-157.2857692,21.51013689,1259.082436,-42.06832909,-5.511119575,43.29954791
